YEAR,MO,DY,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS10M
2010,1,1,24.71,31.8,76,0,2.06
2010,1,2,24.18,32.3,74.25,0,2.16
2010,1,3,24.6,33.24,70.56,0,2.06
2010,1,4,24.49,31.37,80,0.1,2.86
2010,1,5,24.38,31.69,78.94,1.52,2.77
2010,1,6,25.07,30.26,79.69,2.54,3.22
2010,1,7,24.25,31.07,75.44,3.98,2.65
2010,1,8,23.18,30.23,75.81,12.11,2.27
2010,1,9,22.05,30.84,70.5,1.07,2.07
2010,1,10,22.57,32.64,64.69,0.01,1.71
2010,1,11,23.65,32.41,70.06,0,2.09
2010,1,12,24.07,32.41,70.38,0,1.9
2010,1,13,23.26,31.08,71.31,0.08,2.93
2010,1,14,21.07,30.69,62.06,0.05,3.64
2010,1,15,20.7,31.37,60.31,0,2.98
2010,1,16,21.08,30.92,64.19,0,4.17
2010,1,17,20.39,29.3,63.94,0,4.95
2010,1,18,19.47,29.82,59.56,0,4.21
2010,1,19,19.81,30.32,62.06,0.01,3.46
2010,1,20,21.89,30.08,68.12,0.8,3.28
2010,1,21,22.76,31,74.69,2.05,2.39
2010,1,22,23.93,30.29,78.06,6.8,2.32
2010,1,23,23.55,32.21,76.31,1.22,2.35
2010,1,24,24.2,30.7,78.19,5.66,1.33
2010,1,25,23.25,32.12,73.12,1.85,1.96
2010,1,26,23.92,32.02,72.38,1.62,2.52
2010,1,27,23.57,32.87,68.62,0.29,2.02
2010,1,28,24.31,33.16,69.69,0.01,2.19
2010,1,29,24.32,32.85,72.38,0.17,2.29
2010,1,30,24.47,32.42,72.5,0.08,2.65
2010,1,31,24.43,32.48,73.69,0.02,2.67
2010,2,1,24.69,31.8,76.25,0.27,2.69
2010,2,2,24.73,32.17,76.12,0.02,3.09
2010,2,3,24.53,33.12,71.94,0,2.98
2010,2,4,25.05,32.72,71.44,0.02,2.98
2010,2,5,24.53,32.24,75.5,0.05,3.3
2010,2,6,24.36,31.63,76,0.23,3.85
2010,2,7,24.29,32.49,74.81,0.08,3.3
2010,2,8,24.52,31.83,75.69,0.02,3.35
2010,2,9,24.12,33.67,73,0.81,2.91
2010,2,10,24.66,33.56,73.81,0.01,3.62
2010,2,11,24.83,34.94,69.31,0,2.43
2010,2,12,25.19,33.73,71.44,0.04,3.27
2010,2,13,25.05,34.01,72,0.49,3.25
2010,2,14,25.39,32.34,74.38,0.05,3.65
2010,2,15,25.44,33.7,70.38,0.02,3.53
2010,2,16,25.23,33.48,72.56,0.05,3.48
2010,2,17,24.33,33.44,71.56,0.03,3.31
2010,2,18,24.94,34.51,69.12,0.09,2.88
2010,2,19,24.91,32.2,74.88,13.21,3.04
2010,2,20,25.02,30.57,80.81,7.18,4.09
2010,2,21,25.26,31.72,75.44,1.18,4.61
2010,2,22,25.64,32.19,72.88,0.29,4.22
2010,2,23,25.06,33.3,71.75,0.03,4.34
2010,2,24,24.89,32.76,72.69,0.17,4.77
2010,2,25,25.57,33.35,71.81,0.07,3.8
2010,2,26,25.33,34.33,69.38,0.01,3.63
2010,2,27,24.74,34.8,70.62,0.06,4.3
2010,2,28,25.8,33.41,72.94,0.27,4.43
2010,3,1,25.12,33.6,71.31,0,4.22
2010,3,2,24.74,33.76,67.81,0,3.92
2010,3,3,25,34.65,68.19,0,4.56
2010,3,4,24.3,34.75,67.25,0,4.23
2010,3,5,24.86,35.13,68.19,0,4.38
2010,3,6,24.96,34.48,71.81,0,3.97
2010,3,7,23.94,34.55,75.06,0,4.03
2010,3,8,23.6,34.01,76.25,0,4.53
2010,3,9,24.33,34.76,70.31,0.07,3.41
2010,3,10,23.11,33.78,54.19,0.99,3.91
2010,3,11,22.05,34.54,52.88,0.01,3.85
2010,3,12,25.2,35.6,60.44,0,2.76
2010,3,13,25.38,34.11,70.94,0.04,4.05
2010,3,14,24.46,34.3,72.44,0.01,4.65
2010,3,15,25.68,35.15,67.75,0.02,3.81
2010,3,16,26.32,34.87,68.31,1.42,3.37
2010,3,17,26.5,31.9,73.94,4.98,2.56
2010,3,18,25.49,36.69,63.88,0.27,3.81
2010,3,19,26.6,35.28,63.56,0.01,2.85
2010,3,20,25.6,35.31,67.19,0.02,3.6
2010,3,21,26.85,33.44,69.19,0.8,3.94
2010,3,22,26.14,33.37,71.31,0.34,4.31
2010,3,23,25.67,34.24,70.69,0.27,3.98
2010,3,24,26.48,35.08,66.75,0.24,3.73
2010,3,25,25.87,37.09,65,5.29,2.68
2010,3,26,22.17,27.77,81.88,14.55,5.59
2010,3,27,21.95,34.2,64.81,0.13,2.55
2010,3,28,25.41,36.05,59.25,0.02,3.13
2010,3,29,26.62,34.98,65.81,3.81,2.63
2010,3,30,25.8,32.66,73.88,2.36,2.93
2010,3,31,26.13,33.19,71.19,0.29,3.45
2010,4,1,26.41,33.86,68.75,0.02,3.09
2010,4,2,26.94,33.19,71,0.05,3.52
2010,4,3,27.03,32.05,74.62,0.08,3.12
2010,4,4,26.73,31.18,78.38,0.89,3.31
2010,4,5,27.09,34.81,68.44,0.04,3.45
2010,4,6,26.8,33.73,72.81,0.01,4.05
2010,4,7,27.43,35.92,67.25,0.01,3.55
2010,4,8,27.45,33,73.19,0.03,3.81
2010,4,9,27.88,33.35,70.25,0.01,4.39
2010,4,10,27.35,34.42,68.94,0,5.25
2010,4,11,27.44,33.57,74.06,0.05,4.52
2010,4,12,27.62,35.47,70.94,0.09,4.71
2010,4,13,26.91,36.34,69.44,0.05,3.98
2010,4,14,26.52,36.18,69.06,0.06,4.12
2010,4,15,27.61,33.99,69.62,0.56,3.83
2010,4,16,27.23,31.15,77.19,11.18,3.45
2010,4,17,25.86,29.36,84,13.56,2.63
2010,4,18,25.17,32.71,71.62,1.24,2.62
2010,4,19,26.87,32.83,73.56,0.75,3.45
2010,4,20,27.37,33.78,70.12,0.3,3.77
2010,4,21,27.51,34.79,70.19,0.11,3.84
2010,4,22,27.57,34.37,71.44,0.1,3.69
2010,4,23,27.05,32.91,75.25,2.21,3.23
